 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.456818223       6.51387501       26.2147007       2.99040008       1.91072190       1.89338028    
  0.471647680       6.70170021       26.4766998       3.01710010       1.71077454       1.68210852    
  0.490591526       6.94215250       26.8153992       3.04830003       1.48020935       1.44148183    
  0.510211110       7.18904734       27.1518002       3.08039999       1.27173924       1.22664607    
  0.529703856       7.44919348       27.5816994       3.09500003       1.07633889       1.02926576    
  0.549596071       7.72347021       28.0706005       3.10030007      0.898604870      0.852163911    
  0.569230855       7.98807526       28.5077000       3.11089993      0.753138125      0.708274424    
  0.588628232       8.22769451       28.8020992       3.14039993      0.640466392      0.597046971    
  0.607374430       8.45028782       29.0345993       3.17499995      0.548561931      0.506893575    
  0.623674035       8.64955807       29.2719994       3.19849992      0.475465298      0.436112434    
