                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9904  26.2147  0.18751E+01  0.19245E+01  0.16085E-04  0.19143E+01  0.18536E+01  0.16106E-04  0.18428E+01
   10.5890   3.0171  26.4767  0.16807E+01  0.17141E+01  0.10194E-04  0.17057E+01  0.16484E+01  0.10204E-04  0.16394E+01
   10.5890   3.0483  26.8154  0.14556E+01  0.14731E+01  0.57540E-05  0.14665E+01  0.14138E+01  0.57578E-05  0.14068E+01
   10.5890   3.0804  27.1518  0.12513E+01  0.12565E+01  0.32848E-05  0.12513E+01  0.12035E+01  0.32857E-05  0.11980E+01
   10.5890   3.0950  27.5817  0.10585E+01  0.10556E+01  0.19794E-05  0.10515E+01  0.10093E+01  0.19792E-05  0.10049E+01
   10.5890   3.1003  28.0706  0.88245E+00  0.87400E+00  0.12728E-05  0.87075E+00  0.83419E+00  0.12724E-05  0.83075E+00
   10.5890   3.1109  28.5077  0.73780E+00  0.72594E+00  0.89455E-06  0.72335E+00  0.69169E+00  0.89402E-06  0.68895E+00
   10.5890   3.1404  28.8021  0.62538E+00  0.61119E+00  0.67741E-06  0.60910E+00  0.58130E+00  0.67680E-06  0.57907E+00
   10.5890   3.1750  29.0346  0.53346E+00  0.51786E+00  0.54047E-06  0.51613E+00  0.49164E+00  0.53977E-06  0.48980E+00
   10.5890   3.1985  29.2720  0.46035E+00  0.44445E+00  0.45198E-06  0.44298E+00  0.42131E+00  0.45128E-06  0.41976E+00
