 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5900   3.1000  16.8075   0.1996   2.8048  0.15037E+02  0.15037E+02  0.87382E-04  0.17265E+02  0.11054E-01  0.40036E+00  0.16854E+02  0.10000E+01
   10.5900   3.1000  17.5800   0.2182   3.0665  0.12232E+02  0.12232E+02  0.69591E-04  0.13820E+02  0.67275E-02  0.28008E+00  0.13534E+02  0.10000E+01
   10.5900   3.1000  19.1400   0.2582   3.6296  0.81499E+01  0.81499E+01  0.45442E-04  0.89104E+01  0.24547E-02  0.13654E+00  0.87714E+01  0.10000E+01
   10.5900   3.1000  20.5800   0.2981   4.1901  0.55041E+01  0.55041E+01  0.31906E-04  0.58624E+01  0.95341E-03  0.70539E-01  0.57910E+01  0.10000E+01
   10.5900   3.1000  21.9300   0.3380   4.7510  0.37438E+01  0.37437E+01  0.23712E-04  0.39132E+01  0.38713E-03  0.37954E-01  0.38749E+01  0.10000E+01
   10.5900   3.1000  23.2100   0.3781   5.3139  0.26201E+01  0.26201E+01  0.18483E-04  0.26798E+01  0.16286E-03  0.21084E-01  0.26585E+01  0.10000E+01
   10.5900   3.1000  25.5900   0.4582   6.4405  0.12703E+01  0.12703E+01  0.12776E-04  0.12538E+01  0.31382E-04  0.70715E-02  0.12467E+01  0.10000E+01
   10.5900   3.1000  27.7700   0.5380   7.5622  0.60874E+00  0.60873E+00  0.10417E-04  0.58133E+00  0.67497E-05  0.26058E-02  0.57871E+00  0.10000E+01
   10.5900   3.1000  29.8100   0.6181   8.6880  0.27800E+00  0.27799E+00  0.10159E-04  0.25742E+00  0.16090E-05  0.10172E-02  0.25640E+00  0.10000E+01
   10.5900   3.1000  31.7300   0.6982   9.8135  0.11950E+00  0.11948E+00  0.12351E-04  0.10740E+00  0.42151E-06  0.43477E-03  0.10697E+00  0.10000E+01
   10.5900   3.1000  33.5500   0.7782  10.9384  0.47495E-01  0.47476E-01  0.19731E-04  0.41399E-01  0.11629E-06  0.21088E-03  0.41188E-01  0.10000E+01
   10.5900   2.9000  36.1200   0.8181  11.8063  0.24234E-01  0.24213E-01  0.21569E-04  0.20953E-01  0.57022E-07  0.13879E-03  0.20814E-01  0.10000E+01
