 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.379502565       5.41960382       23.9227009       2.97889996       3.66183090       3.77680445    
  0.393257082       5.59403753       24.1879005       3.00869989       3.32577848       3.40112376    
  0.410929471       5.81797266       24.5277996       3.04430008       2.93271542       2.96759367    
  0.430321008       6.06369114       24.9006996       3.07999992       2.54695964       2.54915071    
  0.449769437       6.32423687       25.3719006       3.09599996       2.17411184       2.15480542    
  0.469615400       6.60011959       25.9134998       3.09960008       1.82849395       1.79577398    
  0.489167988       6.86619663       26.3987999       3.10910010       1.54665208       1.50549781    
  0.508452117       7.10548639       26.7196999       3.14199996       1.33405328       1.28626621    
  0.525957763       7.31192732       26.9438000       3.18070006       1.17261028       1.12077546    
  0.542802989       7.52747107       27.2658005       3.19899988       1.01769161      0.965388060    
