 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.9882  32.0300   0.6754   9.6337  0.22351E+00  0.22343E+00  0.80800E-04  0.20316E+00  0.24409E-06  0.85397E-03  0.20231E+00  0.10021E+01
   10.5890   3.0078  32.2600   0.6912   9.8329  0.19073E+00  0.19064E+00  0.88533E-04  0.17228E+00  0.20537E-06  0.74274E-03  0.17153E+00  0.10023E+01
   10.5890   3.0299  32.5509   0.7106  10.0798  0.15570E+00  0.15560E+00  0.98378E-04  0.13954E+00  0.16436E-06  0.63232E-03  0.13891E+00  0.10024E+01
   10.5890   3.0536  32.8238   0.7302  10.3250  0.12623E+00  0.12612E+00  0.10923E-03  0.11226E+00  0.12976E-06  0.54694E-03  0.11171E+00  0.10026E+01
   10.5890   3.0768  33.0991   0.7501  10.5738  0.10118E+00  0.10106E+00  0.12109E-03  0.89297E-01  0.10060E-06  0.48017E-03  0.88817E-01  0.10027E+01
   10.5890   3.0934  33.4123   0.7697  10.8272  0.80280E-01  0.80147E-01  0.13284E-03  0.70319E-01  0.76989E-07  0.42807E-03  0.69891E-01  0.10029E+01
   10.5890   3.1024  33.7770   0.7894  11.0901  0.62848E-01  0.62704E-01  0.14427E-03  0.54654E-01  0.58101E-07  0.38642E-03  0.54268E-01  0.10031E+01
   10.5890   3.1095  34.1536   0.8092  11.3573  0.48656E-01  0.48500E-01  0.15650E-03  0.41999E-01  0.43312E-07  0.35443E-03  0.41645E-01  0.10033E+01
   10.5890   3.1333  34.3902   0.8290  11.5985  0.37931E-01  0.37757E-01  0.17379E-03  0.32470E-01  0.32258E-07  0.33681E-03  0.32133E-01  0.10035E+01
   10.5890   3.1513  34.5591   0.8438  11.7765  0.31394E-01  0.31206E-01  0.18814E-03  0.26694E-01  0.25841E-07  0.32853E-03  0.26366E-01  0.10036E+01
