 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.9778  23.9339   0.3797   5.4226  0.30737E+01  0.30737E+01 -0.60994E-05  0.31471E+01  0.17312E-03  0.23840E-01  0.31231E+01  0.10007E+01
   10.5890   3.0075  24.1933   0.3932   5.5943  0.27855E+01  0.27855E+01 -0.63451E-05  0.28290E+01  0.11613E-03  0.19597E-01  0.28093E+01  0.10007E+01
   10.5890   3.0431  24.5361   0.4110   5.8196  0.24421E+01  0.24421E+01 -0.57562E-05  0.24553E+01  0.68296E-04  0.15411E-01  0.24398E+01  0.10008E+01
   10.5890   3.0788  24.9047   0.4302   6.0632  0.21122E+01  0.21122E+01 -0.41535E-05  0.21010E+01  0.38081E-04  0.11875E-01  0.20891E+01  0.10008E+01
   10.5890   3.0955  25.3733   0.4497   6.3239  0.17934E+01  0.17934E+01 -0.16697E-05  0.17671E+01  0.20805E-04  0.91450E-02  0.17580E+01  0.10009E+01
   10.5890   3.0985  25.9195   0.4696   6.6008  0.14987E+01  0.14987E+01  0.26655E-05  0.14637E+01  0.11167E-04  0.70256E-02  0.14566E+01  0.10010E+01
   10.5890   3.1087  26.3984   0.4891   6.8651  0.12622E+01  0.12622E+01  0.90711E-05  0.12221E+01  0.61487E-05  0.54625E-02  0.12167E+01  0.10011E+01
   10.5890   3.1426  26.7163   0.5085   7.1051  0.10822E+01  0.10822E+01  0.16302E-04  0.10382E+01  0.35202E-05  0.42978E-02  0.10339E+01  0.10011E+01
   10.5890   3.1808  26.9491   0.5262   7.3150  0.94390E+00  0.94388E+00  0.23700E-04  0.89782E+00  0.22176E-05  0.34787E-02  0.89434E+00  0.10012E+01
   10.5890   3.1996  27.2593   0.5427   7.5254  0.81794E+00  0.81791E+00  0.30450E-04  0.77246E+00  0.15133E-05  0.28571E-02  0.76960E+00  0.10013E+01
