 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.675341189       9.63174534       32.0228004       2.98889995      0.129831195      0.115154110    
  0.691246152       9.83445549       32.2641983       3.00749993      0.109943800       9.67030227E-02
  0.710508168       10.0775661       32.5428009       3.03069997       8.93428549E-02   7.77398795E-02
  0.730199754       10.3250732       32.8223000       3.05390000       7.16309249E-02   6.15777485E-02
  0.749961376       10.5729799       33.1006012       3.07629991       5.67930341E-02   4.81513962E-02
  0.769737303       10.8282356       33.4183998       3.09260011       4.42921445E-02   3.69418599E-02
  0.789493263       11.0919294       33.7809982       3.10220003       3.39072384E-02   2.76972353E-02
  0.809240997       11.3538847       34.1319008       3.11240005       2.55718660E-02   2.02614553E-02
  0.828917623       11.5961981       34.3820992       3.13409996       1.91355329E-02   1.43118827E-02
  0.848284423       11.8244696       34.5773010       3.16090012       3.28588794E-05   1.42739969E-04
