 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.9430  28.2581   0.5177   7.4279  0.84503E+00  0.84501E+00  0.14820E-04  0.81321E+00  0.25710E-05  0.36799E-02  0.80953E+00  0.10012E+01
   10.5890   2.9966  28.3361   0.5337   7.6041  0.75881E+00  0.75879E+00  0.20545E-04  0.72395E+00  0.17474E-05  0.30359E-02  0.72091E+00  0.10013E+01
   10.5890   3.0235  28.6191   0.5510   7.8232  0.65710E+00  0.65707E+00  0.26369E-04  0.62194E+00  0.12106E-05  0.24673E-02  0.61947E+00  0.10014E+01
   10.5890   3.0514  28.9356   0.5703   8.0672  0.55718E+00  0.55715E+00  0.33082E-04  0.52285E+00  0.86527E-06  0.19677E-02  0.52088E+00  0.10015E+01
   10.5890   3.0791  29.2543   0.5901   8.3168  0.46823E+00  0.46819E+00  0.40231E-04  0.43557E+00  0.65325E-06  0.15747E-02  0.43400E+00  0.10016E+01
   10.5890   3.0951  29.6331   0.6096   8.5731  0.38938E+00  0.38934E+00  0.46842E-04  0.35926E+00  0.51545E-06  0.12700E-02  0.35799E+00  0.10017E+01
   10.5890   3.0992  30.0948   0.6295   8.8478  0.31781E+00  0.31776E+00  0.52829E-04  0.29091E+00  0.41291E-06  0.10234E-02  0.28988E+00  0.10018E+01
   10.5890   3.1097  30.4985   0.6492   9.1118  0.25985E+00  0.25980E+00  0.59212E-04  0.23597E+00  0.33494E-06  0.83644E-03  0.23513E+00  0.10019E+01
   10.5890   3.1369  30.7701   0.6688   9.3520  0.21452E+00  0.21446E+00  0.67128E-04  0.19311E+00  0.27328E-06  0.69742E-03  0.19242E+00  0.10021E+01
   10.5890   3.1698  30.9818   0.6879   9.5774  0.17759E+00  0.17751E+00  0.75992E-04  0.15847E+00  0.22308E-06  0.59388E-03  0.15788E+00  0.10022E+01
   10.5890   3.1953  31.1961   0.7052   9.7851  0.14823E+00  0.14815E+00  0.84159E-04  0.13124E+00  0.18403E-06  0.51910E-03  0.13072E+00  0.10024E+01
   10.5890   3.2096  31.4958   0.7231  10.0139  0.12099E+00  0.12089E+00  0.91729E-04  0.10627E+00  0.14891E-06  0.45412E-03  0.10581E+00  0.10025E+01
