 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.9882  32.0300   0.6754   9.6337  0.22377E+00  0.22369E+00  0.80800E-04  0.20300E+00  0.24404E-06  0.83897E-03  0.20216E+00  0.10022E+01
   10.5890   3.0078  32.2600   0.6912   9.8329  0.19093E+00  0.19084E+00  0.88533E-04  0.17216E+00  0.20533E-06  0.73020E-03  0.17142E+00  0.10023E+01
   10.5890   3.0299  32.5509   0.7106  10.0798  0.15593E+00  0.15583E+00  0.98379E-04  0.13959E+00  0.16432E-06  0.62224E-03  0.13896E+00  0.10024E+01
   10.5890   3.0536  32.8238   0.7302  10.3250  0.12656E+00  0.12645E+00  0.10923E-03  0.11246E+00  0.12973E-06  0.53880E-03  0.11192E+00  0.10025E+01
   10.5890   3.0768  33.0991   0.7501  10.5738  0.10169E+00  0.10157E+00  0.12110E-03  0.89699E-01  0.10058E-06  0.47360E-03  0.89225E-01  0.10027E+01
   10.5890   3.0934  33.4123   0.7697  10.8272  0.80985E-01  0.80852E-01  0.13285E-03  0.70920E-01  0.76971E-07  0.42275E-03  0.70498E-01  0.10029E+01
   10.5890   3.1024  33.7770   0.7894  11.0901  0.63736E-01  0.63592E-01  0.14428E-03  0.55417E-01  0.58087E-07  0.38210E-03  0.55035E-01  0.10030E+01
   10.5890   3.1095  34.1536   0.8092  11.3573  0.49684E-01  0.49527E-01  0.15651E-03  0.42872E-01  0.43302E-07  0.35092E-03  0.42521E-01  0.10032E+01
   10.5890   3.1333  34.3902   0.8290  11.5985  0.39046E-01  0.38872E-01  0.17381E-03  0.33397E-01  0.32250E-07  0.33391E-03  0.33063E-01  0.10034E+01
   10.5890   3.1513  34.5591   0.8438  11.7765  0.32522E-01  0.32334E-01  0.18816E-03  0.27614E-01  0.25834E-07  0.32599E-03  0.27288E-01  0.10035E+01
