 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.379619390       5.42006063       23.9167995       2.98060012       2.25897169       2.27570677    
  0.393196791       5.59347534       24.1882992       3.00830007       2.04865456       2.04851508    
  0.410978377       5.81951380       24.5356007       3.04320002       1.80077398       1.78400695    
  0.430238873       6.06285667       24.9006004       3.07960010       1.56385779       1.53410614    
  0.449691683       6.32364988       25.3731995       3.09540009       1.33236694       1.29549849    
  0.469476521       6.59781551       25.9071999       3.09999990       1.12014389       1.07993102    
  0.489259660       6.86656570       26.3952007       3.11010003      0.944332302      0.902690947    
  0.508215010       7.10122013       26.7071991       3.14299989      0.815526307      0.772590220    
  0.525817871       7.30968714       26.9382992       3.18099999      0.714558363      0.671205759    
  0.544424415       7.53483629       27.2152996       3.21379995      0.616096139      0.573720217    
