 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.9778  23.9339   0.3797   5.4226  0.32301E+01  0.32301E+01 -0.60992E-05  0.33025E+01  0.17312E-03  0.23840E-01  0.32785E+01  0.10007E+01
   10.5890   3.0075  24.1933   0.3932   5.5943  0.29236E+01  0.29236E+01 -0.63450E-05  0.29659E+01  0.11613E-03  0.19597E-01  0.29462E+01  0.10007E+01
   10.5890   3.0431  24.5361   0.4110   5.8196  0.25599E+01  0.25599E+01 -0.57561E-05  0.25718E+01  0.68296E-04  0.15411E-01  0.25563E+01  0.10008E+01
   10.5890   3.0788  24.9047   0.4302   6.0632  0.22122E+01  0.22122E+01 -0.41534E-05  0.22001E+01  0.38081E-04  0.11875E-01  0.21881E+01  0.10008E+01
   10.5890   3.0955  25.3733   0.4497   6.3239  0.18782E+01  0.18782E+01 -0.16697E-05  0.18510E+01  0.20805E-04  0.91450E-02  0.18419E+01  0.10009E+01
   10.5890   3.0985  25.9195   0.4696   6.6008  0.15705E+01  0.15705E+01  0.26655E-05  0.15347E+01  0.11167E-04  0.70256E-02  0.15277E+01  0.10010E+01
   10.5890   3.1087  26.3984   0.4891   6.8651  0.13240E+01  0.13239E+01  0.90711E-05  0.12830E+01  0.61487E-05  0.54625E-02  0.12775E+01  0.10011E+01
   10.5890   3.1426  26.7163   0.5085   7.1051  0.11364E+01  0.11363E+01  0.16302E-04  0.10912E+01  0.35202E-05  0.42978E-02  0.10869E+01  0.10011E+01
   10.5890   3.1808  26.9491   0.5262   7.3150  0.99237E+00  0.99234E+00  0.23700E-04  0.94502E+00  0.22176E-05  0.34787E-02  0.94154E+00  0.10012E+01
   10.5890   3.1996  27.2593   0.5427   7.5254  0.86145E+00  0.86142E+00  0.30450E-04  0.81445E+00  0.15133E-05  0.28571E-02  0.81160E+00  0.10013E+01
