 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.379657686       5.42260265       23.9339008       2.97779989       3.16532516       3.25486970    
  0.393210858       5.59426594       24.1933002       3.00749993       2.86635828       2.92197824    
  0.410975933       5.81955576       24.5361004       3.04310012       2.51016927       2.53174996    
  0.430220634       6.06324577       24.9046993       3.07879996       2.16833687       2.16285062    
  0.449715734       6.32390356       25.3733006       3.09549999       1.83869696       1.81604052    
  0.469593465       6.60078049       25.9195004       3.09850001       1.53444302       1.50166011    
  0.489064306       6.86510849       26.3983994       3.10870004       1.29061937       1.25179577    
  0.508463144       7.10506868       26.7162991       3.14260006       1.10512912       1.06165385    
  0.526184618       7.31498241       26.9491005       3.18079996      0.962645650      0.916705191    
  0.542694867       7.52536058       27.2593002       3.19959998      0.833069623      0.787496209    
