EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin11.inp                                                            
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00045; twall=0.00481; tbeam=0.00341; tspec=0.00832
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=211

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 28.336  7.60    0.90   -0.98    0.37    0.00   -0.61  0.786
   2.997  0.534  7.52    0.95   -5.38    0.39    0.00   -4.99 7.716E-01

  10.589 28.619  7.82    0.86   -1.58    0.34    0.00   -1.24  0.784
   3.023  0.551  7.25    0.91   -6.11    0.37    0.00   -5.74 6.676E-01

  10.589 28.936  8.07    0.81   -2.23    0.32    0.00   -1.91  0.782
   3.051  0.570  6.96    0.85   -6.90    0.35    0.00   -6.55 5.657E-01

  10.589 29.254  8.32    0.77   -2.89    0.31    0.00   -2.59  0.784
   3.079  0.590  6.66    0.81   -7.70    0.33    0.00   -7.37 4.754E-01

  10.589 29.633  8.57    0.74   -3.52    0.30    0.00   -3.22  0.789
   3.095  0.610  6.37    0.78   -8.45    0.32    0.00   -8.13 3.957E-01

  10.589 30.095  8.85    0.71   -4.13    0.29    0.00   -3.83  0.797
   3.099  0.630  6.09    0.75   -9.18    0.32    0.00   -8.86 3.235E-01

  10.589 30.499  9.11    0.69   -4.75    0.29    0.00   -4.45  0.810
   3.110  0.649  5.80    0.72   -9.93    0.31    0.00   -9.61 2.651E-01

  10.589 30.770  9.35    0.66   -5.41    0.30    0.00   -5.12  0.831
   3.137  0.669  5.51    0.70  -10.73    0.32    0.00  -10.42 2.196E-01

  10.589 30.982  9.58    0.64   -6.09    0.30    0.00   -5.79  0.859
   3.170  0.688  5.23    0.67  -11.56    0.32    0.00  -11.23 1.826E-01

  10.589 31.196  9.79    0.62   -6.72    0.32    0.00   -6.40  0.893
   3.195  0.705  4.97    0.66  -12.31    0.34    0.00  -11.97 1.531E-01

  10.589 31.496 10.01    0.61   -7.36    0.34    0.00   -7.02  0.935
   3.210  0.723  4.71    0.65  -13.08    0.36    0.00  -12.72 1.256E-01

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

