                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9882  32.0300  0.23306E+00  0.22225E+00  0.24433E-06  0.22145E+00  0.21022E+00  0.24404E-06  0.20938E+00
   10.5890   3.0078  32.2600  0.19933E+00  0.18896E+00  0.20562E-06  0.18826E+00  0.17845E+00  0.20533E-06  0.17772E+00
   10.5890   3.0299  32.5509  0.16303E+00  0.15342E+00  0.16461E-06  0.15283E+00  0.14460E+00  0.16432E-06  0.14397E+00
   10.5890   3.0536  32.8238  0.13219E+00  0.12345E+00  0.12999E-06  0.12293E+00  0.11610E+00  0.12973E-06  0.11556E+00
   10.5890   3.0768  33.0991  0.10567E+00  0.97888E-01  0.10081E-06  0.97436E-01  0.91849E-01  0.10058E-06  0.91375E-01
   10.5890   3.0934  33.4123  0.83250E-01  0.76487E-01  0.77171E-07  0.76082E-01  0.71601E-01  0.76971E-07  0.71178E-01
   10.5890   3.1024  33.7770  0.64292E-01  0.58574E-01  0.58252E-07  0.58206E-01  0.54700E-01  0.58087E-07  0.54318E-01
   10.5890   3.1095  34.1536  0.48624E-01  0.43901E-01  0.43435E-07  0.43560E-01  0.40891E-01  0.43302E-07  0.40540E-01
   10.5890   3.1333  34.3902  0.36488E-01  0.32615E-01  0.32359E-07  0.32289E-01  0.30287E-01  0.32250E-07  0.29953E-01
   10.5890   3.1513  34.5591  0.28963E-01  0.25682E-01  0.25927E-07  0.25362E-01  0.23791E-01  0.25834E-07  0.23465E-01
