 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.9966  28.3361   0.5337   7.6041  0.77059E+00  0.77057E+00  0.20545E-04  0.73449E+00  0.17474E-05  0.30341E-02  0.73145E+00  0.10013E+01
   10.5890   3.0235  28.6191   0.5510   7.8232  0.66665E+00  0.66662E+00  0.26369E-04  0.63043E+00  0.12106E-05  0.24659E-02  0.62797E+00  0.10014E+01
   10.5890   3.0514  28.9356   0.5703   8.0672  0.56492E+00  0.56489E+00  0.33082E-04  0.52972E+00  0.86525E-06  0.19666E-02  0.52775E+00  0.10015E+01
   10.5890   3.0791  29.2543   0.5901   8.3168  0.47470E+00  0.47466E+00  0.40231E-04  0.44130E+00  0.65323E-06  0.15738E-02  0.43973E+00  0.10016E+01
   10.5890   3.0951  29.6331   0.6096   8.5731  0.39502E+00  0.39498E+00  0.46843E-04  0.36426E+00  0.51543E-06  0.12693E-02  0.36299E+00  0.10017E+01
   10.5890   3.0992  30.0948   0.6295   8.8478  0.32291E+00  0.32285E+00  0.52830E-04  0.29545E+00  0.41290E-06  0.10229E-02  0.29442E+00  0.10018E+01
   10.5890   3.1097  30.4985   0.6492   9.1118  0.26464E+00  0.26458E+00  0.59214E-04  0.24020E+00  0.33493E-06  0.83603E-03  0.23936E+00  0.10019E+01
   10.5890   3.1369  30.7701   0.6688   9.3520  0.21918E+00  0.21911E+00  0.67131E-04  0.19720E+00  0.27327E-06  0.69711E-03  0.19650E+00  0.10020E+01
   10.5890   3.1698  30.9818   0.6879   9.5774  0.18217E+00  0.18209E+00  0.75997E-04  0.16244E+00  0.22307E-06  0.59363E-03  0.16185E+00  0.10022E+01
   10.5890   3.1953  31.1961   0.7052   9.7851  0.15272E+00  0.15264E+00  0.84165E-04  0.13508E+00  0.18402E-06  0.51890E-03  0.13456E+00  0.10023E+01
   10.5890   3.2096  31.4958   0.7231  10.0139  0.12531E+00  0.12522E+00  0.91736E-04  0.10991E+00  0.14890E-06  0.45397E-03  0.10946E+00  0.10024E+01
